Image_ID,label,ImagePath,num_boxes,source,license,split
ID_y9kjoA.jpg,anthracnose,dataset/images/train/ID_y9kjoA.jpg,2,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_vF6HIM.jpg,cssvd,dataset/images/train/ID_vF6HIM.jpg,2,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_j6dAj6.jpeg,anthracnose,dataset/images/train/ID_j6dAj6.jpeg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_B1pw9J.JPG,cssvd,dataset/images/train/ID_B1pw9J.JPG,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_pWMV3A.jpg,cssvd,dataset/images/train/ID_pWMV3A.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_se42lb.jpg,cssvd,dataset/images/train/ID_se42lb.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_RlMDts.jpg,healthy,dataset/images/train/ID_RlMDts.jpg,2,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_EfjaLF.jpg,healthy,dataset/images/train/ID_EfjaLF.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_jsZTdi.jpg,cssvd,dataset/images/train/ID_jsZTdi.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_lYNwPT.jpg,cssvd,dataset/images/train/ID_lYNwPT.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_b38Thi.jpg,cssvd,dataset/images/train/ID_b38Thi.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_dkTEhj.jpg,healthy,dataset/images/train/ID_dkTEhj.jpg,3,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_jkpHUf.jpg,anthracnose,dataset/images/train/ID_jkpHUf.jpg,2,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_in0n2J.jpg,healthy,dataset/images/train/ID_in0n2J.jpg,4,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_nqQCn4.jpg,cssvd,dataset/images/train/ID_nqQCn4.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_RhZRTG.jpg,healthy,dataset/images/train/ID_RhZRTG.jpg,8,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_X9VSUI.jpg,anthracnose,dataset/images/train/ID_X9VSUI.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_aKPdZh.jpeg,healthy,dataset/images/train/ID_aKPdZh.jpeg,3,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_yZNP5q.jpg,cssvd,dataset/images/train/ID_yZNP5q.jpg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
ID_fUlZiG.jpeg,cssvd,dataset/images/train/ID_fUlZiG.jpeg,1,amini-cocoa-contamination-dataset,CC BY 4.0,train
